id;first_name;middle_name;last_name;position;ktp;ktp_exp_date;npwp;npwp_reg_date;passport;passport_exp_date;kitas;kitas_exp_date;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Jevon;transform Solomon Islands Investmen;Pacocha;Syrian Arab Republic transmitter Soft;secured line;2019-12-06;utilize;2019-12-05;Algerian Dinar;2019-12-05;Planner invoice generating;2019-12-06;2019-12-05;2019-12-05T06:56:37;31372;2019-12-05;2019-12-05T13:04:45;48706
2;Broderick;Legacy hacking;Halvorson;Markets hacking;leading-edge Sleek Steel ;2019-12-06;Associate;2019-12-05;Liaison e-markets task-fo;2019-12-05;solutions Refined deposit;2019-12-05;2019-12-06;2019-12-05T12:45:43;60255;2019-12-05;2019-12-05T18:52:36;15202
3;Gerson;South Carolina;Dicki;green Cambridgeshire;Generic Metal Gloves Admi;2019-12-06;Soft;2019-12-05;Intelligent;2019-12-05;Generic Granite Tuna Manager o;2019-12-05;2019-12-05;2019-12-05T20:16:54;17375;2019-12-05;2019-12-05T11:53:41;52704
4;Rosemary;panel optical;Jacobson;deposit viral;supply-chains hacking;2019-12-05;parse Computers;2019-12-05;Land;2019-12-06;logistical synthesize Concrete;2019-12-05;2019-12-05;2019-12-05T22:28:01;32350;2019-12-06;2019-12-05T07:36:31;24120
5;Lois;indigo Tasty Steel Shoes transform;Gleason;withdrawal Cambridgeshire;Rustic;2019-12-05;Pizza;2019-12-05;alarm;2019-12-05;maximize exploit Key;2019-12-05;2019-12-05;2019-12-05T06:13:19;13314;2019-12-05;2019-12-06T01:10:49;78690
6;Maeve;Quality;Schowalter;Gorgeous stable;Gorgeous Fresh Cheese Str;2019-12-05;District deposi;2019-12-05;Practical Granite Salad C;2019-12-05;Aruban Guilder Small Steel Fis;2019-12-05;2019-12-05;2019-12-06T01:54:06;80213;2019-12-06;2019-12-06T01:06:11;1210
7;Alfonzo;Buckinghamshire facilitate Green;Zemlak;Consultant Branding;grey Shirt Awesome;2019-12-05;bypass full-ran;2019-12-06;Agent regional;2019-12-05;Personal Loan Account;2019-12-05;2019-12-05;2019-12-05T22:41:43;1042;2019-12-06;2019-12-05T21:30:07;61501
8;Deven;Generic Frozen Hat Camp Principal;Hammes;Plastic Wall Rubber;Washington generate;2019-12-05;deposit Steel;2019-12-05;Communications;2019-12-05;seize;2019-12-05;2019-12-05;2019-12-05T17:05:10;38865;2019-12-05;2019-12-05T23:42:12;94307
9;Doris;Research;Padberg;Cambridgeshire;invoice;2019-12-05;copying SCSI co;2019-12-05;Proactive override;2019-12-05;calculating hard drive overrid;2019-12-05;2019-12-06;2019-12-05T23:22:25;32005;2019-12-05;2019-12-05T09:33:20;98466
10;Domingo;Armenia panel Rustic;Paucek;Licensed Manager Borders;copying;2019-12-05;Saint Lucia Pen;2019-12-05;array Delaware;2019-12-05;COM;2019-12-05;2019-12-05;2019-12-05T09:21:54;43380;2019-12-05;2019-12-05T23:46:17;46155
