id;bank_account_no;bank_account_name;bank_branch;status;currency_id;bank_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Flats AI;Cotton web services;Sleek synergies Practical Soft Chair;S;97277;91077;2019-12-05;2019-12-05T10:27:07;69931;2019-12-05;2019-12-05T08:24:00;1800
2;Communications hard drive migration;Falkland Islands (Malvinas) invoice Courts;Bahamian Dollar;E;28382;30126;2019-12-05;2019-12-05T14:11:11;7424;2019-12-05;2019-12-05T23:06:52;29991
3;quantify Ergonomic Fresh Salad SCSI;matrices visionary Officer;Awesome Streamlined;4;78916;85569;2019-12-05;2019-12-05T16:01:57;65882;2019-12-06;2019-12-05T22:29:30;83137
4;Investment Account;bandwidth;Lead Vatu;R;8220;31694;2019-12-05;2019-12-05T18:07:00;46443;2019-12-05;2019-12-06T01:14:47;60192
5;Corporate initiatives;Web Pike;Pakistan Rupee Progressive Avon;I;78675;48766;2019-12-05;2019-12-05T12:53:37;26267;2019-12-05;2019-12-05T22:01:46;60065
6;parse Bedfordshire;optimize Future;vertical;C;23885;27681;2019-12-05;2019-12-05T05:13:49;45046;2019-12-05;2019-12-05T17:11:45;48204
7;turquoise Investment Account;Falls;Borders Sports;I;84392;10802;2019-12-05;2019-12-05T20:24:52;46285;2019-12-05;2019-12-05T18:01:20;57204
8;Berkshire;Unbranded Plastic Shirt;Gorgeous Auto Loan Account Granite;X;2966;49354;2019-12-05;2019-12-05T11:41:34;4485;2019-12-05;2019-12-05T17:43:58;13148
9;clear-thinking disintermediate mindshare;JSON Swedish Krona;Credit Card Account;s;71842;95506;2019-12-05;2019-12-05T08:50:18;72139;2019-12-06;2019-12-05T07:50:17;63640
10;Handmade Concrete Bacon;Generic Fresh Chicken;Metal;o;9228;12102;2019-12-05;2019-12-05T18:29:32;54958;2019-12-05;2019-12-05T06:56:22;7100
