id;sid;company_name;bic_code;legal_domicile_id;npwp;npwp_reg_date;skd;skd_exp_date;company_establish_plce;company_establish_date;business_type;company_chracteristic;fund_source;fund_source_text;article_association;bussiness_reg_no;financial_asset_1;financial_asset_2;financial_asset_3;operating_profit_1;operating_profit_2;operating_profit_3;description;investment_objective;direct_sid;asset_owner;sup_doc_type;sup_doc_exp_date;tax_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;open-source Oug;AGP circuit;optical deposit;85058;GB;2019-10-15;overriding UIC-Franc;2019-10-15;Credit Car;2019-10-15;S;A;Fresh;Reduced Corporate;connecting;generate Adaptive black;8409;61692;32643;98118;55984;63181;exuding;Beauty synthesizing;Gorgeous;B;d;2019-10-16;78880;2019-10-15;2019-10-16T06:19:33;68788;2019-10-15;2019-10-16T08:52:04;94729
2;Chicken;Handmade Rubber Shoes proactive Checking Account;SCSI;99014;Yemeni Rial Shoals deposit;2019-10-15;utilize Small Fresh Gloves tar;2019-10-15;Public-key;2019-10-15;G;n;bypassing;Kroon deposit systemic;Liaison Grocery capacitor;applications invoice unleash;27421;44229;98397;31195;40933;32074;program override red;payment efficient RSS;Vietnam Mouse;S;C;2019-10-16;62622;2019-10-15;2019-10-16T07:20:45;29416;2019-10-16;2019-10-15T12:36:43;92084
3;Savings Account;Savings Account;Ethiopian Birr archi;20052;Avon;2019-10-16;Kentucky maximized;2019-10-15;website Cu;2019-10-16;H;p;XSS solid state Handmade Grani;Concrete;Planner;Health;48235;61815;21034;70246;34601;55964;Automotive approach Borders;PCI;Sports;2;F;2019-10-15;20085;2019-10-15;2019-10-15T17:51:34;80058;2019-10-15;2019-10-16T05:41:32;4118
4;Brunei Dollar;deposit circuit Kids;Checking Account Hom;93520;Assurance Auto Loan Account cross-platform;2019-10-15;Avon invoice Malta;2019-10-15;online Por;2019-10-15;p;P;Savings Account utilisation Hi;Pizza redundant deposit;Towels Clothing;Fundamental Designer;97479;49327;65032;8152;19954;40326;blue web-readiness white;Drives XSS interface;navigating Mone;A;C;2019-10-15;87342;2019-10-15;2019-10-15T12:52:45;79295;2019-10-16;2019-10-15T18:46:33;27682
5;Iowa National g;Point calculating;Soft;71582;Investor Tuna;2019-10-16;Analyst Shirt;2019-10-15;Berkshire;2019-10-16;A;H;Checking Account Tuna;toolset incentivize;deposit matrices quantify;redefine;23702;45378;23467;23605;88370;7349;Gloves Jordan;Uganda Shilling Cotton;Persevering Per;D;a;2019-10-15;78179;2019-10-15;2019-10-15T17:34:00;80567;2019-10-15;2019-10-15T20:26:51;86421
6;Hawaii Botswana;Rustic Granite Bike Program Generic Wooden Bike;Sausages Incredible;10330;Arizona Congolese Franc;2019-10-16;Vista UAE Dirham Automotive;2019-10-16;Facilitato;2019-10-16;L;W;Metal;lime Chilean Peso Unidades de fomento Officer;feed;communities;86814;96334;17714;25530;69262;66163;Representative whiteboard Health;Auto Loan Account;COM back up Fro;E;n;2019-10-15;10659;2019-10-16;2019-10-15T18:42:28;15928;2019-10-15;2019-10-15T19:58:37;4821
7;Facilitator;Facilitator transmit;Iowa;73844;THX;2019-10-16;system engine Kuwaiti Dinar so;2019-10-15;virtual me;2019-10-16;N;f;seamless mesh;disintermediate Jordan Savings Account;deploy Advanced;New Mexico;16844;66821;64257;61949;75934;46349;deliver XSS;indexing Lead;leading-edge en;O;g;2019-10-15;71549;2019-10-15;2019-10-15T21:59:11;1823;2019-10-15;2019-10-16T05:47:50;43086
8;Dynamic;Principal;invoice;38007;azure;2019-10-15;yellow Shoes;2019-10-15;Fiji;2019-10-15;D;M;monitor morph;networks Granite Computer;CSS haptic Fish;Licensed;56731;18522;25656;91775;96292;42452;Licensed connecting;Sleek Rubber Computer Solutions;invoice Cambrid;S;S;2019-10-15;90002;2019-10-15;2019-10-16T02:00:50;55663;2019-10-16;2019-10-16T04:21:37;78052
9;object-oriented;navigating New Leu primary;Savings Account Land;16801;bus;2019-10-15;sky blue Intelligent;2019-10-16;deposit;2019-10-15;N;I;Checking Account Avon;bi-directional Credit Card Account Kenyan Shilling;content monitor;Industrial innovative bypassing;60321;72433;33722;57838;90552;27416;Gorgeous Generic Investor;monetize;Future-proofed ;c;H;2019-10-15;59281;2019-10-15;2019-10-15T18:10:22;53295;2019-10-16;2019-10-16T02:42:43;45685
10;olive;Coordinator;efficient Producer;44635;proactive New Hampshire;2019-10-16;Directives payment override;2019-10-16;partnershi;2019-10-15;G;M;Liaison Industrial;Accounts Dominican Republic quantifying;Generic Cloned;program Rubber connecting;78202;15930;70874;6310;3616;11764;Expanded;dynamic Incredible;Optional Bedfor;V;X;2019-10-15;49696;2019-10-15;2019-10-15T10:41:03;56657;2019-10-15;2019-10-16T01:06:39;20851
