id;email;password;mobile_phone;member_since;member_status;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Maurice_Bauch32@gmail.com;red firewall open-source;deposit Sausages;2019-10-17;39757;2019-10-18;2019-10-17T21:56:35;93672;2019-10-17;2019-10-18T07:04:07;67569
2;Murray92@yahoo.com;SMS Enhanced;Bacon Designer;2019-10-17;52965;2019-10-18;2019-10-18T04:33:53;99625;2019-10-18;2019-10-17T11:11:57;89721
3;Stephan.Tillman@yahoo.com;even-keeled Saint Helena Pound;Internal AI optical;2019-10-17;85092;2019-10-18;2019-10-17T11:54:51;16162;2019-10-17;2019-10-17T12:48:14;66898
4;Kris.Altenwerth@yahoo.com;invoice Home Gloves;Buckinghamshire Ports;2019-10-17;22426;2019-10-18;2019-10-17T17:16:37;1807;2019-10-18;2019-10-17T22:30:57;32539
5;Nayeli_Hickle@gmail.com;alarm local area network Benin;turn-key dedicated;2019-10-18;58987;2019-10-17;2019-10-17T10:52:33;39309;2019-10-17;2019-10-17T12:57:37;90609
6;Hosea_Schimmel@yahoo.com;North Dakota Cambridgeshire;Re-contextualized;2019-10-17;28077;2019-10-17;2019-10-18T09:47:08;76855;2019-10-17;2019-10-18T09:19:21;17711
7;Tristian.Koss91@hotmail.com;out-of-the-box Automotive Tactics;Venezuela Wisconsin;2019-10-17;85300;2019-10-18;2019-10-18T03:18:08;30569;2019-10-18;2019-10-18T05:47:14;85113
8;Emile37@gmail.com;matrix calculating;Arkansas Intelligent Credit Card Account;2019-10-17;35864;2019-10-18;2019-10-18T04:16:09;51832;2019-10-18;2019-10-17T13:18:44;32255
9;Rosetta70@hotmail.com;real-time discrete redundant;Synergistic Personal Loan Account Sleek;2019-10-18;50151;2019-10-17;2019-10-17T15:12:37;19427;2019-10-17;2019-10-18T08:39:59;70196
10;Pete_Bechtelar33@yahoo.com;incubate;interfaces;2019-10-17;3594;2019-10-18;2019-10-17T23:11:41;15504;2019-10-17;2019-10-17T10:48:18;28654
